STATE,G2012,H2012,I2012,G2011,H2011,I2011,Pop2011,Pop2013
California,1367,1939,89,1260,1822,81,37253956,38431393
Colorado,83,147,29,77,154,15,5029196,5272086
Connecticut,84,116,84,89,119,58,3574097,3599341
Delaware,38,53,48.5,29,40,13,897934,925240
Hawaii,7,23,72,7,24,50,1360211,1408898
Illinois,433,502,59,392,469,35,12013246,12074513
Iowa,26,47,28.5,21,46,7,3046355,3092341
Maine,15,29,17,19,32,7,1328361,1328702
Maryland,298,392,80.5,120,198,45,4985843,5119449
Massachusetts,70,119,74.5,109,167,65,6547629,6708874
Michigan,525,675,33.5,461,631,25,9883640,9898193
Minnesota,42,107,34,44,79,14,5303925,5422060
Nevada,80,129,15.5,91,150,5,2645277,2737433
New Hampshire,9,13,20.5,6,17,6,1316470,1322616
New Jersey,273,388,82.5,258,362,72,8791894,8911502
New Mexico,59,101,14,58,118,4,1847924,1871307
New York,396,658,79.5,413,717,62,18038570,18340581
North Carolina,300,459,16,293,447,16,9535483,9848917
Ohio,290,435,25,335,470,7,11507668,11543734
Oregon,43,86,27,47,80,15,3809354,3906241
Pennsylvania,555,733,48.5,479,648,26,12702379,12781296
Rhode Island,19,35,55.5,11,19,44,1052567,1053354
Vermont,3,9,10,5,10,6,625741,626855
Virginia,209,308,24,203,296,12,4248878,4395703
Washington,109,198,17,36,64,4,6724540,6973742
Wisconsin,109,168,28,82,141,3,5686986,5742953
