STATE,G2012,H2012,I2012,G2011,H2011,I2011,Label,Pop2011,Pop2013
Alaska,21,40,7,20,35,0,R,4765804,4820490
Arizona,230,347,6,234,355,0,R,6392017,6634997
Arkansas,111,166,15.5,107,151,4,R,2915918,2958765
Georgia,404,562,17,365,507,8,R,8494811,8734217
Idaho,17,27,15,14,28,2,R,1567582,1612843
Indiana,224,297,19.5,181,283,4,R,6483802,6570713
Kansas,53,87,10,74,115,4,R,2843134,2885852
Kentucky,120,196,11,69,105,2,R,4312532,4372615
Louisiana,380,473,13.5,313,395,2,R,4518482,4614464
Mississippi,130,170,10,136,184,4,R,2967297,2992206
Missouri,285,396,14,169,242,4,R,4670679,4724930
Montana,12,21,12,6,16,2,R,989415,1014864
Nebraska,41,52,21,43,66,5,R,1826341,1868969
North Dakota,2,10,16,5,12,2,R,672591,723857
Oklahoma,160,225,15,137,212,2,R,3751351,3853118
South Carolina,239,322,15,189,267,8,R,4174139,4297706
South Dakota,5,14,9.5,8,18,4,R,814180,845510
Tennessee,275,414,16,248,374,8,R,5596414,5713182
Texas,799,1195,15.5,748,1146,4,R,25145561,26505637
Utah,24,47,12,26,52,0,R,2763885,2902787
West Virginia,41,62,33.5,94,168,15,R,1603513,1605443
Wyoming,7,17,9,8,16,4,R,563626,583223
